192.168.1.10 - - [31/Jan/2015:08:09:31 +0530] "GET / HTTP/1.1" 404 951
192.168.1.10 - - [31/Jan/2015:08:09:32 +0530] "GET /HeUI/index.html HTTP/1.1" 304 -
192.168.1.10 - - [31/Jan/2015:08:09:32 +0530] "GET /HeUI/bower_components/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 304 -
192.168.1.10 - - [31/Jan/2015:08:09:32 +0530] "GET /HeUI/dist/css/timeline.css HTTP/1.1" 304 -
192.168.1.10 - - [31/Jan/2015:08:09:32 +0530] "GET /HeUI/bower_components/jquery/dist/jquery.min.js HTTP/1.1" 304 -
192.168.1.10 - - [31/Jan/2015:08:09:32 +0530] "GET /HeUI/bower_components/metisMenu/dist/metisMenu.min.css HTTP/1.1" 304 -
192.168.1.10 - - [31/Jan/2015:08:09:32 +0530] "GET /HeUI/bower_components/morrisjs/morris.css HTTP/1.1" 304 -
192.168.1.10 - - [31/Jan/2015:08:09:32 +0530] "GET /HeUI/bower_components/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
192.168.1.10 - - [31/Jan/2015:08:09:32 +0530] "GET /HeUI/bower_components/raphael/raphael-min.js HTTP/1.1" 304 -
192.168.1.10 - - [31/Jan/2015:08:09:32 +0530] "GET /HeUI/dist/css/sb-admin-2.css HTTP/1.1" 304 -
192.168.1.10 - - [31/Jan/2015:08:09:32 +0530] "GET /HeUI/bower_components/metisMenu/dist/metisMenu.min.js HTTP/1.1" 304 -
192.168.1.10 - - [31/Jan/2015:08:09:32 +0530] "GET /HeUI/bower_components/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 304 -
192.168.1.10 - - [31/Jan/2015:08:09:32 +0530] "GET /HeUI/js/morris-data.js HTTP/1.1" 304 -
192.168.1.10 - - [31/Jan/2015:08:09:32 +0530] "GET /HeUI/bower_components/morrisjs/morris.min.js HTTP/1.1" 304 -
192.168.1.10 - - [31/Jan/2015:08:09:32 +0530] "GET /HeUI/dist/js/sb-admin-2.js HTTP/1.1" 304 -
192.168.1.10 - - [31/Jan/2015:08:09:32 +0530] "GET /HeUI/bower_components/font-awesome/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 304 -
192.168.1.10 - - [31/Jan/2015:08:09:32 +0530] "GET /favicon.ico HTTP/1.1" 404 973
192.168.1.10 - - [31/Jan/2015:08:10:16 +0530] "GET /HeUI/index.html HTTP/1.1" 200 6824
192.168.1.10 - - [31/Jan/2015:08:10:16 +0530] "GET /HeUI/dist/css/sb-admin-2.css HTTP/1.1" 304 -
